x,y,event,description,ordinalNum
-75.0,28.0,Shot,Jason Zucker Wrist Shot saved by Andrei Vasilevskiy,1st
-81.0,3.0,Shot,Evan Rodrigues Wrist Shot saved by Andrei Vasilevskiy,1st
-51.0,-15.0,Shot,Erik Cernak Slap Shot saved by Tristan Jarry,1st
-50.0,24.0,Shot,Bryan Rust Wrist Shot saved by Andrei Vasilevskiy,1st
-74.0,-9.0,Goal,"Danton Heinen (1) Snap Shot, assists: Jeff Carter (1)",2nd
-54.0,-7.0,Missed Shot,Kris Letang Wide of Net Andrei Vasilevskiy,2nd
-61.0,3.0,Shot,Brian Dumoulin Wrist Shot saved by Andrei Vasilevskiy,2nd
-70.0,16.0,Missed Shot,Brian Dumoulin Wide of Net Andrei Vasilevskiy,2nd
-71.0,9.0,Missed Shot,Sam Lafferty Wide of Net Andrei Vasilevskiy,2nd
-72.0,2.0,Goal,"Brian Boyle (1) Wrist Shot, assists: Sam Lafferty (1), Drew O'Connor (1)",2nd
-80.0,4.0,Shot,Pierre-Edouard Bellemare Backhand saved by Tristan Jarry,2nd
-37.0,-19.0,Missed Shot,Victor Hedman Wide of Net Tristan Jarry,2nd
-31.0,-20.0,Shot,Victor Hedman Wrist Shot saved by Tristan Jarry,2nd
-76.0,23.0,Missed Shot,Bryan Rust Wide of Net Andrei Vasilevskiy,2nd
-37.0,-14.0,Shot,Zach Bogosian Slap Shot saved by Tristan Jarry,2nd
-57.0,29.0,Shot,Evan Rodrigues Wrist Shot saved by Andrei Vasilevskiy,2nd
-45.0,9.0,Missed Shot,Erik Cernak Wide of Net Tristan Jarry,2nd
-53.0,-19.0,Shot,Ryan McDonagh Slap Shot saved by Tristan Jarry,2nd
-83.0,6.0,Shot,Danton Heinen Wrap-around saved by Andrei Vasilevskiy,2nd
-74.0,10.0,Shot,Danton Heinen Wrist Shot saved by Andrei Vasilevskiy,2nd
-79.0,13.0,Shot,Jason Zucker Wrist Shot saved by Andrei Vasilevskiy,2nd
-74.0,9.0,Shot,Jason Zucker Snap Shot saved by Andrei Vasilevskiy,2nd
-59.0,24.0,Missed Shot,Nikita Kucherov Wide of Net Tristan Jarry,2nd
-66.0,-1.0,Shot,Brock McGinn Deflected saved by Andrei Vasilevskiy,2nd
-72.0,5.0,Missed Shot,Brayden Point Wide of Net Tristan Jarry,2nd
-66.0,2.0,Shot,Brayden Point Wrist Shot saved by Tristan Jarry,2nd
-45.0,31.0,Missed Shot,Victor Hedman Wide of Net Tristan Jarry,2nd
-77.0,-2.0,Shot,Alex Killorn Wrist Shot saved by Tristan Jarry,2nd
-81.0,6.0,Shot,Brayden Point Backhand saved by Tristan Jarry,2nd
-53.0,-19.0,Shot,Ondrej Palat Wrist Shot saved by Tristan Jarry,2nd
-80.0,12.0,Shot,Teddy Blueger Wrist Shot saved by Andrei Vasilevskiy,2nd
-30.0,27.0,Shot,Brian Dumoulin Wrist Shot saved by Andrei Vasilevskiy,2nd
-74.0,-20.0,Shot,Anthony Cirelli Wrist Shot saved by Tristan Jarry,3rd
-39.0,21.0,Missed Shot,Victor Hedman Wide of Net Tristan Jarry,3rd
-48.0,-33.0,Shot,Jan Rutta Wrist Shot saved by Tristan Jarry,3rd
-53.0,5.0,Shot,Teddy Blueger Wrist Shot saved by Andrei Vasilevskiy,3rd
-42.0,30.0,Shot,Chad Ruhwedel Wrist Shot saved by Andrei Vasilevskiy,3rd
-81.0,-2.0,Shot,Mark Friedman Snap Shot saved by Andrei Vasilevskiy,3rd
-40.0,28.0,Missed Shot,Ryan McDonagh Wide of Net Tristan Jarry,3rd
-83.0,18.0,Shot,Drew O'Connor Wrist Shot saved by Andrei Vasilevskiy,3rd
-56.0,5.0,Shot,Ondrej Palat Wrist Shot saved by Tristan Jarry,3rd
-63.0,18.0,Missed Shot,Mikhail Sergachev Wide of Net Tristan Jarry,3rd
-42.0,4.0,Missed Shot,Mark Friedman Wide of Net Andrei Vasilevskiy,3rd
-60.0,32.0,Missed Shot,Ryan McDonagh Wide of Net Tristan Jarry,3rd
-61.0,14.0,Missed Shot,Drew O'Connor Wide of Net Andrei Vasilevskiy,3rd
-61.0,-9.0,Missed Shot,John Marino Over Net Andrei Vasilevskiy,3rd
-73.0,-14.0,Shot,Jason Zucker Wrist Shot saved by Andrei Vasilevskiy,3rd
-52.0,29.0,Goal,"Dominik Simon (1) Wrist Shot, assists: Kris Letang (1), Brock McGinn (1)",3rd
-8.0,35.0,Shot,Victor Hedman Wrist Shot saved by Tristan Jarry,3rd
-40.0,-24.0,Shot,Jan Rutta Wrist Shot saved by Tristan Jarry,3rd
-53.0,-28.0,Shot,Dominik Simon Wrist Shot saved by Andrei Vasilevskiy,3rd
-72.0,34.0,Shot,Ryan McDonagh Snap Shot saved by Tristan Jarry,3rd
-84.0,-5.0,Shot,Alex Killorn Tip-In saved by Tristan Jarry,3rd
-75.0,1.0,Goal,"Anthony Cirelli (1) Tip-In, assists: Victor Hedman (1), Steven Stamkos (1)",3rd
-63.0,14.0,Goal,"Teddy Blueger (1) Wrist Shot, assists: Kris Letang (2)",3rd
-78.0,2.0,Shot,Brayden Point Wrist Shot saved by Tristan Jarry,3rd
-69.0,10.0,Goal,"Alex Killorn (1) Snap Shot, assists: Steven Stamkos (2), Anthony Cirelli (1)",3rd
-53.0,1.0,Missed Shot,Ross Colton Over Net Tristan Jarry,3rd
-31.0,32.0,Goal,"Evan Rodrigues (1) Wrist Shot, assists: John Marino (1)",3rd
-24.0,10.0,Goal,"Bryan Rust (1) Wrist Shot, assists: none",3rd
-75.0,-23.0,Missed Shot,Drew O'Connor Wide of Net Andrei Vasilevskiy,3rd
-45.0,2.0,Shot,Erik Cernak Slap Shot saved by Tristan Jarry,3rd
-56.0,29.0,Shot,Ross Colton Wrist Shot saved by Tristan Jarry,3rd
-37.0,-28.0,Shot,Erik Cernak Slap Shot saved by Tristan Jarry,3rd
-30.0,36.0,Shot,Mark Giordano Slap Shot saved by Robin Lehner,1st
-73.0,-13.0,Missed Shot,Jordan Eberle Wide of Net Robin Lehner,1st
-54.0,-27.0,Shot,Morgan Geekie Wrist Shot saved by Robin Lehner,1st
-67.0,-19.0,Shot,Mark Giordano Snap Shot saved by Robin Lehner,1st
-65.0,-20.0,Goal,"Max Pacioretty (1) Wrist Shot, assists: Mark Stone (1), Chandler Stephenson (1)",1st
-88.0,11.0,Shot,Jonathan Marchessault Wrist Shot saved by Philipp Grubauer,1st
-43.0,34.0,Shot,Mark Giordano Wrist Shot saved by Robin Lehner,1st
-50.0,-31.0,Shot,Adam Larsson Slap Shot saved by Robin Lehner,1st
-29.0,-36.0,Missed Shot,Adam Larsson Wide of Net Robin Lehner,1st
-58.0,13.0,Shot,Alex Wennberg Wrist Shot saved by Robin Lehner,1st
-51.0,-22.0,Shot,Morgan Geekie Wrist Shot saved by Robin Lehner,1st
-88.0,4.0,Goal,"Jonathan Marchessault (1) Backhand, assists: William Karlsson (1), Reilly Smith (1)",1st
-30.0,-38.0,Missed Shot,Haydn Fleury Wide of Net Robin Lehner,1st
-85.0,36.0,Shot,Brandon Tanev Wrist Shot saved by Robin Lehner,1st
-29.0,-38.0,Missed Shot,Brayden McNabb Wide of Net Philipp Grubauer,1st
-77.0,-16.0,Missed Shot,Jared McCann Wide of Net Robin Lehner,1st
-81.0,19.0,Shot,Mark Giordano Wrist Shot saved by Robin Lehner,1st
-53.0,0.0,Missed Shot,Reilly Smith Over Net Philipp Grubauer,1st
-66.0,0.0,Missed Shot,Jonathan Marchessault Wide of Net Philipp Grubauer,1st
-83.0,-4.0,Shot,Nolan Patrick Wrist Shot saved by Philipp Grubauer,1st
-65.0,13.0,Missed Shot,William Karlsson Wide of Net Philipp Grubauer,1st
-68.0,-18.0,Missed Shot,Peyton  Krebs Wide of Net Philipp Grubauer,1st
-88.0,18.0,Shot,Max Pacioretty Backhand saved by Philipp Grubauer,1st
-65.0,-23.0,Shot,Reilly Smith Wrist Shot saved by Philipp Grubauer,1st
-36.0,-13.0,Missed Shot,Mark Giordano Wide of Net Robin Lehner,1st
-89.0,-5.0,Missed Shot,Ryan Donato Wide of Net Robin Lehner,1st
-51.0,15.0,Missed Shot,Alex Pietrangelo Over Net Philipp Grubauer,2nd
-64.0,-35.0,Shot,Alex Pietrangelo Slap Shot saved by Philipp Grubauer,2nd
-32.0,-32.0,Shot,Alec Martinez Wrist Shot saved by Philipp Grubauer,2nd
-75.0,23.0,Shot,Reilly Smith Wrist Shot saved by Philipp Grubauer,2nd
-62.0,25.0,Shot,Evgenii Dadonov Snap Shot saved by Philipp Grubauer,2nd
-70.0,3.0,Shot,Max Pacioretty Tip-In saved by Philipp Grubauer,2nd
-63.0,-14.0,Missed Shot,Max Pacioretty Goalpost Philipp Grubauer,2nd
-37.0,-24.0,Shot,Max Pacioretty Slap Shot saved by Philipp Grubauer,2nd
-55.0,-1.0,Missed Shot,Jonathan Marchessault Wide of Net Philipp Grubauer,2nd
-81.0,1.0,Missed Shot,Reilly Smith Wide of Net Philipp Grubauer,2nd
-68.0,2.0,Shot,Jonathan Marchessault Wrist Shot saved by Philipp Grubauer,2nd
-79.0,1.0,Shot,Chandler Stephenson Wrist Shot saved by Philipp Grubauer,2nd
-81.0,-4.0,Shot,Jonathan Marchessault Backhand saved by Philipp Grubauer,2nd
-61.0,35.0,Shot,Mason Appleton Wrist Shot saved by Robin Lehner,2nd
-52.0,17.0,Missed Shot,Keegan Kolesar Wide of Net Philipp Grubauer,2nd
-83.0,-1.0,Goal,"Max Pacioretty (2) Deflected, assists: Nicolas Hague (1), Mark Stone (2)",2nd
-49.0,21.0,Shot,Max Pacioretty Wrist Shot saved by Philipp Grubauer,2nd
-65.0,29.0,Missed Shot,Jordan Eberle Wide of Net Robin Lehner,2nd
-57.0,-9.0,Shot,Alex Wennberg Wrist Shot saved by Robin Lehner,2nd
-73.0,-1.0,Missed Shot,Alex Wennberg Wide of Net Robin Lehner,2nd
-63.0,24.0,Shot,Alec Martinez Wrist Shot saved by Philipp Grubauer,2nd
-71.0,8.0,Shot,Marcus Johansson Backhand saved by Robin Lehner,2nd
-69.0,-21.0,Shot,Vince Dunn Wrist Shot saved by Robin Lehner,2nd
-81.0,1.0,Goal,"Ryan Donato (1) Backhand, assists: Vince Dunn (1), Joonas Donskoi (1)",2nd
-78.0,0.0,Missed Shot,Mason Appleton Wide of Net Robin Lehner,2nd
-69.0,23.0,Shot,Nolan Patrick Snap Shot saved by Philipp Grubauer,2nd
-53.0,3.0,Shot,Riley Sheahan Wrist Shot saved by Robin Lehner,2nd
-87.0,9.0,Goal,"Jared McCann (1) Wrist Shot, assists: Jordan Eberle (1), Jaden Schwartz (1)",2nd
-65.0,-24.0,Shot,Jordan Eberle Snap Shot saved by Robin Lehner,2nd
-36.0,2.0,Shot,Zach Whitecloud Snap Shot saved by Philipp Grubauer,2nd
-87.0,32.0,Shot,Nicolas Hague Wrist Shot saved by Philipp Grubauer,2nd
-35.0,-30.0,Shot,Zach Whitecloud Slap Shot saved by Philipp Grubauer,2nd
-63.0,3.0,Shot,Joonas Donskoi Slap Shot saved by Robin Lehner,2nd
-44.0,0.0,Missed Shot,Haydn Fleury Wide of Net Robin Lehner,2nd
-62.0,37.0,Shot,Mason Appleton Wrist Shot saved by Robin Lehner,2nd
-51.0,1.0,Missed Shot,Jonathan Marchessault Goalpost Philipp Grubauer,2nd
-32.0,-34.0,Shot,Jamie Oleksiak Wrist Shot saved by Robin Lehner,2nd
-84.0,-6.0,Missed Shot,Joonas Donskoi Wide of Net Robin Lehner,2nd
-86.0,-4.0,Shot,Joonas Donskoi Wrist Shot saved by Robin Lehner,2nd
-35.0,-17.0,Shot,Alex Pietrangelo Slap Shot saved by Philipp Grubauer,2nd
-78.0,2.0,Missed Shot,Keegan Kolesar Wide of Net Philipp Grubauer,2nd
-73.0,0.0,Shot,Brandon Tanev Wrist Shot saved by Robin Lehner,2nd
-54.0,-22.0,Shot,Mark Giordano Wrist Shot saved by Robin Lehner,2nd
-34.0,10.0,Shot,Vince Dunn Wrist Shot saved by Robin Lehner,3rd
-80.0,-1.0,Shot,Nathan Bastian Wrist Shot saved by Robin Lehner,3rd
-67.0,-9.0,Missed Shot,Evgenii Dadonov Wide of Net Philipp Grubauer,3rd
-33.0,27.0,Missed Shot,Shea Theodore Wide of Net Philipp Grubauer,3rd
-62.0,34.0,Shot,Max Pacioretty Wrist Shot saved by Philipp Grubauer,3rd
-86.0,-4.0,Shot,Nolan Patrick Tip-In saved by Philipp Grubauer,3rd
-74.0,38.0,Shot,Nathan Bastian Backhand saved by Robin Lehner,3rd
-43.0,22.0,Shot,Riley Sheahan Slap Shot saved by Robin Lehner,3rd
-54.0,-20.0,Shot,Vince Dunn Wrist Shot saved by Robin Lehner,3rd
-65.0,-23.0,Goal,"Morgan Geekie (1) Wrist Shot, assists: Jeremy Lauzon (1)",3rd
-80.0,-6.0,Goal,"Chandler Stephenson (1) Deflected, assists: Mark Stone (3), Max Pacioretty (1)",3rd
-31.0,-21.0,Missed Shot,Nicolas Hague Over Net Philipp Grubauer,3rd
-80.0,-3.0,Shot,Haydn Fleury Backhand saved by Robin Lehner,3rd
-76.0,-1.0,Missed Shot,Nathan Bastian Wide of Net Robin Lehner,3rd
-77.0,-19.0,Shot,Max Pacioretty Wrist Shot saved by Philipp Grubauer,3rd
-32.0,-37.0,Missed Shot,Alec Martinez Goalpost Philipp Grubauer,3rd
-32.0,-31.0,Missed Shot,Jeremy Lauzon Wide of Net Robin Lehner,3rd
-70.0,0.0,Shot,Reilly Smith Tip-In saved by Philipp Grubauer,3rd
-81.0,-3.0,Shot,Reilly Smith Wrist Shot saved by Philipp Grubauer,3rd
-58.0,-1.0,Shot,Keegan Kolesar Wrist Shot saved by Philipp Grubauer,3rd
-22.0,28.0,Missed Shot,Max Pacioretty Wide of Net,3rd
-54.0,12.0,Shot,Ryan Donato Wrist Shot saved by Robin Lehner,3rd
-71.0,13.0,Shot,Brett Kulak Slap Shot saved by Jack Campbell,1st
-66.0,5.0,Missed Shot,Josh Anderson Wide of Net Jack Campbell,1st
-78.0,-22.0,Shot,Christian Dvorak Wrist Shot saved by Jack Campbell,1st
-75.0,-24.0,Missed Shot,David Savard Wide of Net Jack Campbell,1st
-60.0,-18.0,Shot,Mitchell Marner Wrist Shot saved by Jake Allen,1st
-64.0,-16.0,Shot,Tyler Toffoli Wrist Shot saved by Jack Campbell,1st
-31.0,20.0,Shot,Jonathan Drouin Slap Shot saved by Jack Campbell,1st
-78.0,1.0,Shot,Josh Anderson Wrist Shot saved by Jack Campbell,1st
-69.0,-16.0,Missed Shot,Ondrej Kase Wide of Net Jake Allen,1st
-57.0,15.0,Shot,Brendan Gallagher Wrist Shot saved by Jack Campbell,1st
-34.0,-18.0,Missed Shot,Jeff Petry Wide of Net Jack Campbell,1st
-61.0,30.0,Shot,Jason Spezza Wrist Shot saved by Jake Allen,1st
-74.0,13.0,Missed Shot,Nick Ritchie Wide of Net Jake Allen,1st
-68.0,7.0,Shot,Cole Caufield Backhand saved by Jack Campbell,1st
-84.0,6.0,Goal,"Jonathan Drouin (1) Wrist Shot, assists: Josh Anderson (1), Brett Kulak (1)",1st
-38.0,33.0,Shot,TJ Brodie Wrist Shot saved by Jake Allen,1st
-82.0,4.0,Missed Shot,Alexander Kerfoot Wide of Net Jake Allen,1st
-68.0,2.0,Shot,Mitchell Marner Wrist Shot saved by Jake Allen,1st
-64.0,-23.0,Shot,John Tavares Wrist Shot saved by Jake Allen,1st
-76.0,11.0,Goal,"Pierre Engvall (1) Wrist Shot, assists: Michael Bunting (1), Rasmus Sandin (1)",1st
-69.0,28.0,Missed Shot,TJ Brodie Wide of Net Jake Allen,1st
-68.0,13.0,Shot,Cole Caufield Wrist Shot saved by Jack Campbell,1st
-40.0,-25.0,Shot,Rasmus Sandin Wrist Shot saved by Jake Allen,1st
-31.0,-19.0,Missed Shot,Mitchell Marner Wide of Net Jake Allen,1st
-70.0,5.0,Missed Shot,Nick Ritchie Goalpost Jake Allen,1st
-70.0,16.0,Shot,Ondrej Kase Wrist Shot saved by Jake Allen,1st
-67.0,-7.0,Shot,Ondrej Kase Wrist Shot saved by Jake Allen,1st
-70.0,9.0,Missed Shot,William Nylander Wide of Net Jake Allen,1st
-80.0,-9.0,Missed Shot,Rasmus Sandin Goalpost Jake Allen,1st
-35.0,4.0,Missed Shot,Rasmus Sandin Goalpost Jake Allen,1st
-67.0,38.0,Shot,Jake Muzzin Wrist Shot saved by Jake Allen,2nd
-69.0,0.0,Shot,Ondrej Kase Tip-In saved by Jake Allen,2nd
-84.0,15.0,Missed Shot,Pierre Engvall Wide of Net Jake Allen,2nd
-74.0,-2.0,Shot,William Nylander Tip-In saved by Jake Allen,2nd
-75.0,-5.0,Shot,John Tavares Tip-In saved by Jake Allen,2nd
-55.0,-35.0,Missed Shot,Justin Holl Wide of Net Jake Allen,2nd
-64.0,39.0,Missed Shot,Nick Ritchie Wide of Net Jake Allen,2nd
-81.0,-14.0,Shot,William Nylander Wrist Shot saved by Jake Allen,2nd
-81.0,0.0,Shot,Travis Dermott Backhand saved by Jake Allen,2nd
-30.0,25.0,Shot,Chris Wideman Slap Shot saved by Jack Campbell,2nd
-49.0,-5.0,Shot,Morgan Rielly Wrist Shot saved by Jake Allen,2nd
-71.0,19.0,Shot,Christian Dvorak Wrist Shot saved by Jack Campbell,2nd
-73.0,1.0,Shot,William Nylander Wrist Shot saved by Jake Allen,2nd
-74.0,-11.0,Shot,Christian Dvorak Wrist Shot saved by Jack Campbell,2nd
-56.0,1.0,Missed Shot,John Tavares Wide of Net Jake Allen,2nd
-78.0,5.0,Shot,John Tavares Backhand saved by Jake Allen,2nd
-36.0,28.0,Shot,Jake Evans Wrist Shot saved by Jack Campbell,2nd
-74.0,-1.0,Shot,Mitchell Marner Backhand saved by Jake Allen,2nd
-74.0,4.0,Shot,Nick Suzuki Wrist Shot saved by Jack Campbell,2nd
-67.0,-18.0,Shot,William Nylander Wrist Shot saved by Jake Allen,2nd
-39.0,-22.0,Missed Shot,Rasmus Sandin Wide of Net Jake Allen,2nd
-88.0,8.0,Shot,Artturi Lehkonen Wrap-around saved by Jack Campbell,2nd
-77.0,25.0,Missed Shot,Josh Anderson Wide of Net Jack Campbell,2nd
-41.0,34.0,Shot,Chris Wideman Slap Shot saved by Jack Campbell,2nd
-77.0,-5.0,Missed Shot,Ondrej Kase Wide of Net Jake Allen,2nd
-81.0,0.0,Shot,Ondrej Kase Wrist Shot saved by Jake Allen,2nd
-71.0,1.0,Shot,Ondrej Kase Wrist Shot saved by Jake Allen,2nd
-33.0,22.0,Shot,Rasmus Sandin Wrist Shot saved by Jake Allen,2nd
-65.0,-5.0,Shot,Nick Suzuki Wrist Shot saved by Jack Campbell,2nd
-33.0,-17.0,Missed Shot,Ben Chiarot Wide of Net Jack Campbell,2nd
-10.0,-27.0,Shot,Nick Suzuki Backhand saved by Jack Campbell,2nd
-34.0,9.0,Shot,Jeff Petry Wrist Shot saved by Jack Campbell,2nd
-63.0,-15.0,Shot,Josh Anderson Wrist Shot saved by Jack Campbell,2nd
-64.0,5.0,Missed Shot,John Tavares Wide of Net Jake Allen,3rd
-77.0,16.0,Goal,"William Nylander (1) Snap Shot, assists: Morgan Rielly (1), Mitchell Marner (1)",3rd
-62.0,-28.0,Shot,Tyler Toffoli Wrist Shot saved by Jack Campbell,3rd
-72.0,-32.0,Shot,Pierre Engvall Wrist Shot saved by Jake Allen,3rd
-34.0,-32.0,Shot,Pierre Engvall Wrist Shot saved by Jake Allen,3rd
-29.0,-10.0,Shot,Mathieu Perreault Backhand saved by Jack Campbell,3rd
-37.0,-16.0,Missed Shot,William Nylander Wide of Net Jake Allen,3rd
-44.0,9.0,Missed Shot,Pierre Engvall Wide of Net Jake Allen,3rd
-64.0,3.0,Missed Shot,Ondrej Kase Wide of Net Jake Allen,3rd
-67.0,2.0,Shot,Ondrej Kase Wrist Shot saved by Jake Allen,3rd
-54.0,-25.0,Shot,Cole Caufield Wrist Shot saved by Jack Campbell,3rd
-84.0,-12.0,Missed Shot,Morgan Rielly Wide of Net Jake Allen,3rd
-33.0,2.0,Shot,Jeff Petry Slap Shot saved by Jack Campbell,3rd
-78.0,-19.0,Missed Shot,Christian Dvorak Wide of Net Jack Campbell,3rd
-81.0,22.0,Shot,Joel Armia Backhand saved by Jack Campbell,3rd
-66.0,17.0,Shot,Cole Caufield Tip-In saved by Jack Campbell,3rd
-72.0,23.0,Shot,Joel Armia Snap Shot saved by Jack Campbell,3rd
-57.0,2.0,Shot,Nick Suzuki Tip-In saved by Jack Campbell,3rd
-63.0,15.0,Shot,Tyler Toffoli Wrist Shot saved by Jack Campbell,3rd
-49.0,35.0,Shot,Joel Armia Slap Shot saved by Jack Campbell,3rd
-34.0,-18.0,Missed Shot,Rasmus Sandin Wide of Net Jake Allen,3rd
-72.0,1.0,Shot,Mitchell Marner Slap Shot saved by Jake Allen,3rd
-74.0,-6.0,Shot,Brendan Gallagher Wrist Shot saved by Jack Campbell,3rd
-70.0,-13.0,Missed Shot,Nick Suzuki Over Net Jack Campbell,3rd
-69.0,-19.0,Shot,Morgan Rielly Wrist Shot saved by Jake Allen,3rd
-85.0,-3.0,Shot,John Tavares Wrist Shot saved by Jake Allen,3rd
-50.0,-19.0,Missed Shot,Cole Caufield Wide of Net Jack Campbell,3rd
-32.0,-7.0,Missed Shot,Tyler Toffoli Wide of Net Jack Campbell,3rd
-67.0,-8.0,Shot,Jeff Petry Wrist Shot saved by Jack Campbell,3rd
-60.0,-14.0,Shot,Adam Fox Wrist Shot saved by Vitek Vanecek,1st
-41.0,5.0,Missed Shot,Jacob Trouba Over Net Vitek Vanecek,1st
-91.0,-5.0,Missed Shot,Alexis Lafrenière Wide of Net Vitek Vanecek,1st
-67.0,-37.0,Shot,Lars Eller Wrist Shot saved by Alexandar Georgiev,1st
-55.0,24.0,Missed Shot,Anthony Mantha Wide of Net Alexandar Georgiev,1st
-30.0,-25.0,Shot,Adam Fox Wrist Shot saved by Vitek Vanecek,1st
-65.0,26.0,Shot,Kaapo Kakko Wrist Shot saved by Vitek Vanecek,1st
-76.0,1.0,Shot,Filip Chytil Backhand saved by Vitek Vanecek,1st
-70.0,3.0,Missed Shot,Filip Chytil Wide of Net Vitek Vanecek,1st
-56.0,10.0,Shot,Jacob Trouba Snap Shot saved by Vitek Vanecek,1st
-86.0,-3.0,Goal,"T.J. Oshie (1) Wrist Shot, assists: Alex Ovechkin (1), Evgeny Kuznetsov (1)",1st
-67.0,0.0,Shot,Kaapo Kakko Wrist Shot saved by Vitek Vanecek,1st
-44.0,-34.0,Missed Shot,Martin Fehervary Wide of Net Alexandar Georgiev,1st
-88.0,15.0,Missed Shot,Daniel Sprong Wide of Net Alexandar Georgiev,1st
-35.0,14.0,Missed Shot,Artemi Panarin Over Net Vitek Vanecek,1st
-92.0,-31.0,Shot,Adam Fox Wrist Shot saved by Vitek Vanecek,1st
-15.0,28.0,Shot,Nic Dowd Wrist Shot saved by Alexandar Georgiev,1st
-71.0,-6.0,Shot,Dryden Hunt Wrist Shot saved by Vitek Vanecek,1st
-75.0,-11.0,Missed Shot,Nic Dowd Wide of Net Alexandar Georgiev,1st
-58.0,-3.0,Shot,Anthony Mantha Wrist Shot saved by Alexandar Georgiev,1st
-63.0,15.0,Missed Shot,Daniel Sprong Wide of Net Alexandar Georgiev,1st
-77.0,20.0,Shot,Kaapo Kakko Wrist Shot saved by Vitek Vanecek,1st
-82.0,3.0,Shot,Hendrix Lapierre Wrist Shot saved by Alexandar Georgiev,1st
-36.0,25.0,Missed Shot,Mika Zibanejad Wide of Net Vitek Vanecek,1st
-34.0,33.0,Missed Shot,Jarred Tinordi Wide of Net Vitek Vanecek,1st
-56.0,7.0,Missed Shot,John Carlson Wide of Net Alexandar Georgiev,1st
-79.0,-4.0,Shot,Garnet Hathaway Tip-In saved by Alexandar Georgiev,1st
-43.0,-4.0,Shot,K'Andre Miller Snap Shot saved by Vitek Vanecek,2nd
-59.0,-25.0,Missed Shot,Nic Dowd Wide of Net Alexandar Georgiev,2nd
-38.0,1.0,Shot,Adam Fox Wrist Shot saved by Vitek Vanecek,2nd
-50.0,31.0,Missed Shot,Carl Hagelin Wide of Net Alexandar Georgiev,2nd
-54.0,-22.0,Shot,Filip Chytil Wrist Shot saved by Vitek Vanecek,2nd
-47.0,24.0,Shot,Alexis Lafrenière Slap Shot saved by Vitek Vanecek,2nd
-55.0,0.0,Missed Shot,Alex Ovechkin Over Net Alexandar Georgiev,2nd
-37.0,15.0,Missed Shot,Jacob Trouba Wide of Net Vitek Vanecek,2nd
-13.0,1.0,Shot,John Carlson Wrist Shot saved by Alexandar Georgiev,2nd
-55.0,-10.0,Shot,Daniel Sprong Snap Shot saved by Alexandar Georgiev,2nd
-58.0,2.0,Shot,Justin Schultz Wrist Shot saved by Alexandar Georgiev,2nd
-85.0,-30.0,Shot,Justin Schultz Wrist Shot saved by Alexandar Georgiev,2nd
-66.0,39.0,Shot,Daniel Sprong Wrist Shot saved by Alexandar Georgiev,2nd
-67.0,33.0,Shot,Carl Hagelin Slap Shot saved by Alexandar Georgiev,2nd
-37.0,2.0,Goal,"Justin Schultz (1) Slap Shot, assists: Evgeny Kuznetsov (2), Alex Ovechkin (2)",2nd
-68.0,9.0,Goal,"Hendrix Lapierre (1) Wrist Shot, assists: T.J. Oshie (1), Conor Sheary (1)",2nd
-59.0,-16.0,Shot,Anthony Mantha Wrist Shot saved by Alexandar Georgiev,2nd
-36.0,-20.0,Missed Shot,John Carlson Wide of Net Alexandar Georgiev,2nd
